utterance,emotion_id,acts_id,emotion,acts
"Say , Jim , how about going for a few beers after dinner ?",0,3,other,Directive
You know that is tempting but is really not good for our fitness .,0,4,other,commisive
What do you mean ? It will help us to relax .,0,2,other,question
Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ?,0,2,other,question
I guess you are right.But what shall we do ? I don't feel like sitting at home .,0,2,other,question
I suggest a walk over to the gym where we can play singsong and meet some of our friends .,0,3,other,Directive
That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them .,4,4,happiness,commisive
"Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too .",4,1,happiness,inform
Good.Let ' s go now .,4,3,happiness,Directive
All right .,4,4,happiness,commisive
Can you do push-ups ?,0,2,other,question
"Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute .",0,1,other,inform
Really ? I think that's impossible !,6,2,surprise,question
You mean 30 push-ups ?,0,2,other,question
Yeah !,0,1,other,inform
"It's easy . If you do exercise everyday , you can make it , too .",0,1,other,inform
Can you study with the radio on ?,0,2,other,question
"No , I listen to background music .",0,1,other,inform
What is the difference ?,0,2,other,question
The radio has too many comerials .,0,1,other,inform
"That's true , but then you have to buy a record player .",0,1,other,inform
Are you all right ?,0,2,other,question
I will be all right soon . I was terrified when I watched them fall from the wire .,0,1,other,inform
Don't worry.He is an acrobat 。,0,1,other,inform
I see .,0,1,other,inform
"Hey John , nice skates . Are they new ?",0,2,other,question
"Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates .",0,1,other,inform
What position do you play ?,0,2,other,question
I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense .,0,1,other,inform
"Yeah , you ’ re a pretty big guy . I play goalie , myself .",0,1,other,inform
"Oh , yeah ? Which team ?",6,2,surprise,question
The Rockets .,0,1,other,inform
"Really ? I think we play you guys next week . Well , I have to go to practice . See you later .",6,3,surprise,Directive
"All right , see you later .",0,4,other,commisive
"Hey Lydia , what are you reading ?",0,2,other,question
"I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling !",4,1,happiness,inform
What are you talking about ? Let me see that ... What are horoscopes ?,0,2,other,question
"It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ?",0,2,other,question
January 5th .,0,1,other,inform
"Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers !",4,1,happiness,inform
"That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense .",0,1,other,inform
"No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize .",0,1,other,inform
"Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ?",0,2,other,question
A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you !,4,1,happiness,inform
"Frank ’ s getting married , do you believe this ?",0,2,other,question
Is he really ?,6,2,surprise,question
"Yes , he is . He loves the girl very much .",0,1,other,inform
Who is he marring ?,0,2,other,question
"A girl he met on holiday in Spain , I think .",0,1,other,inform
Have they set a date for the wedding ?,0,2,other,question
